"","Weight"
"Quinnipiac University",2
"Rasmussen Reports/Pulse Opinion Research",2
"American Research Group",1
"Big Data Poll",2
"Lucid",2
"CVOTER",2
"Ipsos",2
"Morning Consult",2
"SurveyMonkey",2
"Centre College",1
"IBD/TIPP",2
"Public Policy Polling",1
"USC Dornsife/Los Angeles Times",2
"CNN/Opinion Research Corp.",2
"GfK Group",2
"Google Surveys",2
"Gravis Marketing",2
"Suffolk University",2
"GQR Research (GQRR)",2
"NBC News/The Wall Street Journal",2
"Pew Research Center",1
"ABC News/The Washington Post",2
"Fox News/Beacon Research/Shaw & Co. Research",2
"Saint Leo University",1
"YouGov",2
"RAND (American Life Panel)",1
"CBS News/The New York Times",2
"Marist College",2
"Angus Reid Global",2
"RKM Research and Communications Inc.",2
"Monmouth University",1
"Selzer & Co.",2
"Insights West",1
"Public Religion Research Institute",1
"Harris Insights & Analytics",2
"McLaughlin & Associates",1
"Gallup",1
"SSRS",2
"J.L. Partners",2
"RMG Research",2
"Brandwatch Qriously",2
"GBAO",2
"Global Strategy Group/GBAO (Navigator Research)",2
"L̩ger",2
"Research Co.",2
"Siena College/The New York Times Upshot",1
"Change Research",2
"Echelon Insights",2
"Redfield & Wilton Strategies",2
"SurveyUSA",2
"Cometrends",1
"Data for Progress",2
"Rethink Priorities",2
"Spry Strategies",1
"Hofstra University",2
"Global Marketing Research Services",1
"Swayable",2
"The Winston Group",2
"Tufts University",1
"Emerson College",1
"AtlasIntel",1
"Long Island University",1
"Opinium",2
"AYTM",1
"John Zogby Strategies/EMI Research Solutions",2
"Lake Research Partners",1
