POLLSTER,START,END,SAMPLE,POPULATION,DEMPCT,REPPCT,OTHERPCT
AtlasIntel,11/5/22,11/7/22,1013,a,44.1,47.6,
AtlasIntel,11/5/22,11/7/22,863,lv,46.6,49.7,
Trafalgar Group,11/4/22,11/6/22,1099,lv,42.7,48.4,
Data for Progress,11/3/22,11/6/22,1130,lv,48,52,
YouGov,11/3/22,11/6/22,1071,lv,48,49,
YouGov,11/3/22,11/6/22,1315,rv,47,46,
Morning Consult,11/4/22,11/5/22,2005,rv,48,43,
NBC News/The Wall Street Journal,11/3/22,11/5/22,1000,rv,47,47,
NBC News/The Wall Street Journal,11/3/22,11/5/22,786,lv,48,47,
Big Village/Opinion Research Corporation,11/2/22,11/4/22,1009,a,39.9,37.9,
Big Village/Opinion Research Corporation,11/2/22,11/4/22,702,lv,50,46.2,
Rasmussen Reports/Pulse Opinion Research,10/30/22,11/3/22,2500,lv,43,48,
ABC News/The Washington Post,10/30/22,11/2/22,881,rv,48,49,
ABC News/The Washington Post,10/30/22,11/2/22,688,lv,48,50,
Big Village/Opinion Research Corporation,10/31/22,11/2/22,702,lv,51.5,44.9,
Big Village/Opinion Research Corporation,10/31/22,11/2/22,1006,a,43.1,36.8,
Ipsos,10/31/22,11/1/22,453,lv,48,46,
Ipsos,10/31/22,11/1/22,801,rv,43,40,
Ipsos,10/31/22,11/1/22,1004,a,37,36,
YouGov,10/29/22,11/1/22,1101,lv,49,49,
YouGov,10/29/22,11/1/22,1330,rv,48,48,
Data for Progress,10/28/22,10/31/22,1276,lv,47,51,
YouGov,10/27/22,10/31/22,1172,rv,46,44,
NewsNation,10/28/22,10/31/22,1017,rv,43.44,44.67,
Morning Consult,10/28/22,10/31/22,2005,rv,47,42,
SSRS,10/26/22,10/31/22,992,lv,51,47,
SSRS,10/26/22,10/31/22,1290,rv,46,47,
Benenson Strategy Group,10/27/22,10/30/22,1000,v,42,44,
Quinnipiac University,10/26/22,10/30/22,2010,rv,44,48,
Quinnipiac University,10/26/22,10/30/22,2203,a,44,46,
Morning Consult,10/28/22,10/30/22,6974,lv,46,46,
ALG Research,10/21/22,10/28/22,800,lv,38,40,
YouGov,10/26/22,10/28/22,1899,lv,45,47,
Marist College,10/24/22,10/27/22,1469,rv,46,46,
Morning Consult,10/25/22,10/27/22,7947,lv,47,46,
Data for Progress,10/26/22,10/27/22,1217,lv,45,49,
Tufts University,10/25/22,10/27/22,642,lv,48,47,
Trafalgar Group,10/25/22,10/27/22,1089,lv,42,48,
Rasmussen Reports/Pulse Opinion Research,10/23/22,10/27/22,2500,lv,42,49,
Fabrizio Lee & Associates/Impact Research,10/22/22,10/26/22,1500,rv,44,46,
Echelon Insights,10/24/22,10/26/22,1014,rv,48,45,
Echelon Insights,10/24/22,10/26/22,1014,lv,48,46,
Big Village/Opinion Research Corporation,10/24/22,10/26/22,713,lv,50,46,
Big Village/Opinion Research Corporation,10/24/22,10/26/22,1006,a,42,38,
Insider Advantage,10/25/22,10/25/22,750,lv,44,48,
Ipsos,10/24/22,10/25/22,1005,a,34,32,
YouGov,10/22/22,10/25/22,1114,lv,49,45,
YouGov,10/22/22,10/25/22,1335,rv,46,42,
Morning Consult,10/22/22,10/24/22,7947,lv,48,46,
Global Strategy Group/GBAO (Navigator Research),10/20/22,10/24/22,1000,rv,48,45,
Suffolk University,10/19/22,10/24/22,1000,lv,45,49,
Ipsos,10/13/22,10/23/22,937,lv,49,48,
Ipsos,10/13/22,10/23/22,1540,a,32,30,
Morning Consult,10/21/22,10/23/22,2005,rv,47,42,
Morning Consult,10/21/22,10/23/22,7800,lv,48,45,
GQR Research (GQRR),10/19/22,10/23/22,1000,rv,49,49,
Cygnal,10/19/22,10/21/22,5502,lv,48.6,46.9,
Morning Consult,10/18/22,10/20/22,7947,lv,47,45,
Rasmussen Reports/Pulse Opinion Research,10/16/22,10/20/22,2500,lv,43,47,
The Winston Group,10/17/22,10/19/22,1300,rv,46,44,
Emerson College,10/18/22,10/19/22,1000,rv,41,46,
YouGov,10/17/22,10/19/22,1000,a,43,40,
Hart Research Associates/Public Opinion Strategies,10/14/22,10/18/22,797,lv,47,48,
Hart Research Associates/Public Opinion Strategies,10/14/22,10/18/22,1000,rv,47,46,
Data for Progress,10/6/22,10/18/22,4576,lv,45,48,
SurveyMonkey,9/15/22,10/18/22,108206,lv,49,51,
Ipsos,10/17/22,10/18/22,1002,a,36,35,
YouGov,10/16/22,10/18/22,1110,lv,46,47,
YouGov,10/16/22,10/18/22,1345,rv,45,44,
Morning Consult,10/15/22,10/17/22,7947,lv,47,45,
McLaughlin & Associates,10/12/22,10/17/22,1000,lv,43,49,
Monmouth University,10/13/22,10/17/22,756,rv,44,50,
Monmouth University,10/13/22,10/17/22,808,a,45,49,
YouGov,10/13/22,10/17/22,1209,rv,46,44,
YouGov,10/13/22,10/17/22,1629,a,38,34,
Hart Research Associates/Public Opinion Strategies,10/13/22,10/16/22,800,rv,46,48,
Pew Research Center,10/10/22,10/16/22,3993,rv,41,40,
Morning Consult,10/14/22,10/16/22,2005,rv,45,44,
Morning Consult,10/12/22,10/14/22,7947,lv,48,45,
YouGov,10/12/22,10/14/22,1753,lv,45,47,
Harris Insights & Analytics,10/12/22,10/13/22,,,47,53,
Harris Insights & Analytics,10/12/22,10/13/22,2010,rv,50,50,
Rasmussen Reports/Pulse Opinion Research,10/9/22,10/13/22,2500,lv,41,48,
Siena College/The New York Times Upshot,10/9/22,10/12/22,792,rv,46,46,
Siena College/The New York Times Upshot,10/9/22,10/12/22,792,lv,45,49,
Fox News/Beacon Research/Shaw & Co. Research,10/9/22,10/12/22,1206,rv,44,41,
Trafalgar Group,10/10/22,10/12/22,1079,lv,43,48,
Morning Consult,10/9/22,10/11/22,7947,lv,48,45,
Public Opinion Strategies,10/7/22,10/11/22,2000,lv,45,43,
Susquehanna Polling & Research Inc.,10/4/22,10/11/22,800,lv,48,48,
Ipsos,10/10/22,10/11/22,1004,a,36,32,
YouGov,10/8/22,10/11/22,1030,lv,48,46,
YouGov,10/8/22,10/11/22,1330,rv,46,44,
Pioneer Polling/Tarrance Group,10/8/22,10/10/22,1208,lv,46,47,
Global Strategy Group/GBAO (Navigator Research),10/6/22,10/10/22,1000,rv,49,44,
AP-NORC,10/6/22,10/10/22,1121,a,41,34,
Morning Consult,10/7/22,10/9/22,2006,rv,46,42,
Morning Consult,10/6/22,10/8/22,7947,lv,47,45,
IBD/TIPP,10/5/22,10/7/22,1158,rv,43,42,
Big Village/Opinion Research Corporation,10/5/22,10/7/22,708,lv,51,45,
Big Village/Opinion Research Corporation,10/5/22,10/7/22,1005,a,43,38,
Rasmussen Reports/Pulse Opinion Research,10/2/22,10/6/22,2500,lv,43,47,
SSRS,9/3/22,10/5/22,1198,lv,50,47,
SSRS,9/3/22,10/5/22,1577,rv,46,43,
Morning Consult,10/3/22,10/5/22,7947,lv,48,45,
John Zogby Strategies/EMI Research Solutions,10/5/22,10/5/22,1006,lv,45,43,
Ipsos,10/3/22,10/4/22,1003,a,33,32,
YouGov,10/1/22,10/4/22,1042,lv,47,46,
YouGov,10/1/22,10/4/22,1305,rv,45,44,
Data for Progress,9/16/22,10/3/22,7380,lv,45,47,
Insider Advantage,10/3/22,10/3/22,750,lv,44,47,
Morning Consult,9/30/22,10/2/22,2005,rv,46,43,
Morning Consult,9/30/22,10/2/22,7923,lv,49,44,
Marist College,9/27/22,9/29/22,1562,rv,46,44,
Morning Consult,9/27/22,9/29/22,7947,lv,49,44,
NewsNation,9/26/22,9/29/22,1017,rv,45,44,
Rasmussen Reports/Pulse Opinion Research,9/25/22,9/29/22,2500,lv,44,45,
Morning Consult,9/27/22,9/28/22,2005,rv,45,42,
Susquehanna Polling & Research Inc.,9/21/22,9/27/22,881,lv,43,44,
YouGov,9/23/22,9/27/22,1138,rv,45,41,
YouGov,9/23/22,9/27/22,1566,a,38,33,
Ipsos,9/26/22,9/27/22,1004,a,37,32,
Trafalgar Group,9/25/22,9/27/22,1084,lv,46,51,
YouGov,9/24/22,9/27/22,1055,lv,46,47,
YouGov,9/24/22,9/27/22,1341,rv,44,44,
Kaiser Family Foundation,9/15/22,9/26/22,1291,rv,47,43,
Global Strategy Group/GBAO (Navigator Research),9/22/22,9/26/22,997,rv,49,43,
Morning Consult,9/24/22,9/26/22,7947,lv,48,44,
Morning Consult,9/24/22,9/25/22,2005,rv,46,41,
Monmouth University,9/21/22,9/25/22,750,rv,45,47,
Monmouth University,9/21/22,9/25/22,806,a,44,47,
Morning Consult,9/23/22,9/25/22,2005,rv,45,43,
Selzer & Co.,9/20/22,9/25/22,563,lv,46,42,
Morning Consult,9/23/22,9/24/22,2005,rv,47,41,
Morning Consult,9/21/22,9/23/22,7947,lv,48,44,
YouGov,9/21/22,9/23/22,1954,lv,45,46,
Big Village/Opinion Research Corporation,9/21/22,9/23/22,821,rv,46,41,
Big Village/Opinion Research Corporation,9/21/22,9/23/22,1007,a,39,38,
Rasmussen Reports/Pulse Opinion Research,9/18/22,9/22/22,2500,lv,42,44,
McLaughlin & Associates,9/17/22,9/22/22,1000,lv,44,48,
ABC News/The Washington Post,9/18/22,9/22/22,,,46,51,
ABC News/The Washington Post,9/18/22,9/21/22,908,rv,46,47,
Emerson College,9/20/22,9/21/22,1368,lv,45,45,
Morning Consult,9/18/22,9/20/22,7947,lv,48,45,
Ipsos,9/19/22,9/20/22,1004,a,34,33,
YouGov,9/17/22,9/20/22,1318,rv,46,41,
Ipsos,9/6/22,9/19/22,930,lv,41,41,
Ipsos,9/6/22,9/19/22,1564,a,32,29,
Premise,9/16/22,9/19/22,1703,a,46,34,
Echelon Insights,9/16/22,9/19/22,1056,rv,49,42,
Echelon Insights,9/16/22,9/19/22,1056,lv,49,44,
Morning Consult,9/16/22,9/18/22,2005,rv,46,41,
Morning Consult,9/15/22,9/17/22,7947,lv,48,45,
Cygnal,9/14/22,9/16/22,5196,lv,47,47,
GQR Research (GQRR),9/9/22,9/15/22,1000,rv,50,47,
OnMessage Inc.,9/12/22,9/15/22,1600,lv,43,46,
Rasmussen Reports/Pulse Opinion Research,9/11/22,9/15/22,2500,lv,42,43,
Data for Progress,8/29/22,9/15/22,4258,lv,45,47,
Siena College/The New York Times Upshot,9/6/22,9/14/22,1399,lv,47,46,
Marquette University Law School,9/7/22,9/14/22,1282,rv,47,41,
Morning Consult,9/12/22,9/14/22,7947,lv,48,45,
Siena College/The New York Times Upshot,9/6/22,9/14/22,1399,rv,46,44,
Ipsos,9/12/22,9/13/22,,lv,42,43,
Hart Research Associates/Public Opinion Strategies,9/9/22,9/13/22,1000,rv,46,46,
Ipsos,9/12/22,9/13/22,1003,a,37,33,
YouGov,9/10/22,9/13/22,1307,rv,43.2,39.3,
Fox News/Beacon Research/Shaw & Co. Research,9/9/22,9/12/22,1201,rv,44,41,
Public Religion Research Institute,9/1/22,9/11/22,,,37,36,
Public Religion Research Institute,9/1/22,9/11/22,2523,a,37,34,
The Winston Group,9/9/22,9/11/22,1000,rv,45,45,
Global Strategy Group/GBAO (Navigator Research),9/8/22,9/11/22,1001,rv,48,42,
Morning Consult,9/9/22,9/11/22,8384,lv,48,44,
Morning Consult,9/9/22,9/11/22,2006,rv,47,42,
Morning Consult,9/8/22,9/10/22,7947,lv,48,44,
IBD/TIPP,9/7/22,9/9/22,1145,rv,48,46,
Big Village/Opinion Research Corporation,9/7/22,9/9/22,1008,a,41,36.8,
Big Village/Opinion Research Corporation,9/7/22,9/9/22,857,rv,45.9,40.6,
Trafalgar Group,9/7/22,9/9/22,1081,lv,42.2,47.9,
Morning Consult,9/7/22,9/9/22,7947,lv,48,44,
"Cor Services, Inc.",9/6/22,9/8/22,534,lv,44,45,
Harris Insights & Analytics,9/7/22,9/8/22,1854,rv,51,49,
Morning Consult,9/6/22,9/8/22,7947,lv,48,45,
Rasmussen Reports/Pulse Opinion Research,9/4/22,9/8/22,2500,lv,42,46,
Ipsos,9/6/22,9/7/22,1003,a,36,34,
Morning Consult,9/5/22,9/7/22,7947,lv,48,45,
Echelon Insights,8/31/22,9/7/22,1228,lv,46,46,
Morning Consult,9/4/22,9/6/22,7947,lv,47,44,
YouGov,9/3/22,9/6/22,1337,rv,44.2,37.5,
YouGov,9/2/22,9/6/22,1244,rv,45,40,
YouGov,9/2/22,9/6/22,1634,a,39,34,
Morning Consult,9/3/22,9/5/22,7947,lv,47,45,
Morning Consult,9/2/22,9/4/22,8909,lv,47,45,
OnMessage Inc.,9/1/22,9/3/22,800,lv,44,46,
Morning Consult,9/1/22,9/3/22,8731,lv,48,45,
Morning Consult,8/31/22,9/2/22,8631,lv,47,45,
Opinion Savvy/InsiderAdvantage,9/1/22,9/1/22,500,lv,44.7,43.5,
Morning Consult,8/30/22,9/1/22,8724,lv,48,45,
Marist College,8/29/22,9/1/22,1151,rv,48,44,
Rasmussen Reports/Pulse Opinion Research,8/28/22,9/1/22,2500,lv,42,47,
Morning Consult,8/29/22,8/31/22,9039,lv,47,45,
Global Strategy Group/GBAO (Navigator Research),8/26/22,8/31/22,1000,rv,48,43,
YouGov,8/28/22,8/30/22,1342,rv,46.4,37.7,
Trafalgar Group,8/28/22,8/30/22,1084,lv,41.4,47.2,
Morning Consult,8/28/22,8/30/22,9377,lv,48,45,
Morning Consult,8/27/22,8/29/22,9546,lv,48,44,
Quinnipiac University,8/25/22,8/29/22,1584,a,46,42,
Quinnipiac University,8/25/22,8/29/22,1419,rv,47,43,
SurveyMonkey,8/22/22,8/29/22,20799,a,39,38,
Morning Consult,8/26/22,8/28/22,2007,rv,47,42,
Morning Consult,8/26/22,8/28/22,9177,lv,48,44,
Data for Progress,8/12/22,8/28/22,8876,lv,45,46,
Morning Consult,8/25/22,8/27/22,8685,lv,48,45,
Big Village/Opinion Research Corporation,8/24/22,8/26/22,1005,a,43.6,35.7,
Big Village/Opinion Research Corporation,8/24/22,8/26/22,848,rv,48.3,40.8,
YouGov,8/24/22,8/26/22,1854,lv,45,47,
Morning Consult,8/24/22,8/26/22,8696,lv,48,44,
Morning Consult,8/23/22,8/25/22,8886,lv,48,44,
WPA Intelligence (WPAi),8/22/22,8/25/22,1000,rv,44,42,
WPA Intelligence (WPAi),8/22/22,8/25/22,,lv,47,44,
Rasmussen Reports/Pulse Opinion Research,8/21/22,8/25/22,2500,lv,42,47,
Fabrizio Lee & Associates/Impact Research,8/17/22,8/25/22,1313,rv,47,44,
Emerson College,8/23/22,8/24/22,1000,rv,43.6,44.6,
Morning Consult,8/22/22,8/24/22,9291,lv,47,45,
McLaughlin & Associates,8/20/22,8/24/22,1000,lv,45,45,
NewsNation,8/22/22,8/23/22,1028,rv,42.18,44.98,
Morning Consult,8/21/22,8/23/22,9387,lv,47,45,
YouGov,8/20/22,8/23/22,1318,rv,43.7,38.5,
Morning Consult,8/20/22,8/22/22,9402,lv,48,45,
Echelon Insights,8/19/22,8/22/22,1054,rv,50,42,
Echelon Insights,8/19/22,8/22/22,1054,lv,48,44,
YouGov,8/18/22,8/22/22,1563,a,38,33,
YouGov,8/18/22,8/22/22,1188,rv,45,39,
SSRS,8/5/22,8/22/22,1815,rv,47,44,
YouGov,8/10/22,8/21/22,1796,lv,49,45,
Ipsos,8/12/22,8/21/22,5049,a,34,31,
Morning Consult,8/19/22,8/21/22,2005,rv,47,42,
Cygnal,8/19/22,8/21/22,5647,lv,47.2,46.5,
Morning Consult,8/19/22,8/21/22,9057,lv,48,45,
Morning Consult,8/18/22,8/20/22,8852,lv,48,45,
Morning Consult,8/17/22,8/19/22,8914,lv,47,45,
J.L. Partners,8/16/22,8/18/22,1023,a,45,41,
Morning Consult,8/16/22,8/18/22,9203,lv,48,44,
Rasmussen Reports/Pulse Opinion Research,8/14/22,8/18/22,2500,lv,41,46,
ALG Research,8/10/22,8/17/22,1000,lv,40,44,
Morning Consult,8/15/22,8/17/22,9382,lv,47,45,
Trafalgar Group,8/14/22,8/16/22,1091,lv,41.6,46.9,
Morning Consult,8/14/22,8/16/22,9382,lv,48,44,
YouGov,8/13/22,8/16/22,1331,rv,45.1,38.7,
NBC News/The Wall Street Journal,8/12/22,8/16/22,1000,rv,45,47,
Morning Consult,8/13/22,8/15/22,9301,lv,47,44,
Morning Consult,8/12/22,8/14/22,2005,rv,46,42,
Morning Consult,8/12/22,8/14/22,8938,lv,48,45,
OnMessage Inc.,8/11/22,8/14/22,800,lv,43,47,
Pew Research Center,8/1/22,8/14/22,6929,rv,44,42,
Morning Consult,8/11/22,8/13/22,8791,lv,48,45,
Big Village/Opinion Research Corporation,8/10/22,8/12/22,1006,a,40.9,37.2,
Big Village/Opinion Research Corporation,8/10/22,8/12/22,828,rv,46.2,41.8,
Morning Consult,8/10/22,8/12/22,8693,lv,47,45,
Morning Consult,8/9/22,8/11/22,8535,lv,47,45,
Rasmussen Reports/Pulse Opinion Research,8/7/22,8/11/22,2500,lv,43,46,
Morning Consult,8/8/22,8/10/22,10434,rv,45,43,
YouGov,8/7/22,8/9/22,1331,rv,44.3,38.4,
Morning Consult,8/7/22,8/9/22,10500,rv,45,42,
Fox News/Beacon Research/Shaw & Co. Research,8/6/22,8/9/22,1002,rv,41,41,
Morning Consult,8/6/22,8/8/22,10871,rv,46,42,
The Bullfinch Group,8/5/22,8/8/22,1208,a,44,42,
The Bullfinch Group,8/5/22,8/8/22,1008,rv,45,44,
Morning Consult,8/5/22,8/7/22,2005,rv,44,43,
L̩ger,8/5/22,8/7/22,1002,a,35,31,
Morning Consult,8/5/22,8/7/22,10595,rv,45,42,
Zogby Interactive/JZ Analytics,8/4/22,8/6/22,891,lv,44.8,44.3,
Morning Consult,8/4/22,8/6/22,10408,rv,46,42,
Morning Consult,8/3/22,8/5/22,10122,rv,45,42,
IBD/TIPP,8/2/22,8/4/22,1182,rv,46,46,
Morning Consult,8/2/22,8/4/22,10137,rv,45,42,
Rasmussen Reports/Pulse Opinion Research,7/31/22,8/4/22,2500,lv,43,46,
Morning Consult,8/1/22,8/3/22,10267,rv,45,43,
Ipsos,8/1/22,8/2/22,,rv,39,36,
Ipsos,8/1/22,8/2/22,1004,a,35,33,
Data for Progress,8/1/22,8/2/22,1377,lv,44,48,
Morning Consult,7/31/22,8/2/22,10810,rv,45,43,
YouGov,7/30/22,8/2/22,1325,rv,44,38.7,
Ipsos,7/21/22,8/1/22,884,lv,38,40,
Opinion Savvy/InsiderAdvantage,7/31/22,8/1/22,800,lv,44,45,
Morning Consult,7/30/22,8/1/22,10979,rv,45,42,
YouGov,7/28/22,8/1/22,1557,a,39,32,
YouGov,7/28/22,8/1/22,1153,rv,45,39,
Monmouth University,7/28/22,8/1/22,808,a,50,43,
Monmouth University,7/28/22,8/1/22,751,rv,49,46,
Ipsos,7/21/22,8/1/22,1538,a,30,30,
Morning Consult,7/29/22,7/31/22,2006,rv,45,43,
Morning Consult,7/29/22,7/31/22,10658,rv,45,42,
Morning Consult,7/28/22,7/30/22,10146,rv,46,42,
YouGov,7/27/22,7/29/22,1537,lv,43,45,
Big Village/Opinion Research Corporation,7/27/22,7/29/22,1014,a,41.7,37.5,
Big Village/Opinion Research Corporation,7/27/22,7/29/22,823,rv,45.9,42.3,
Morning Consult,7/27/22,7/29/22,10314,rv,46,42,
Harris Insights & Analytics,7/27/22,7/28/22,1885,rv,50,50,
OnMessage Inc.,7/26/22,7/28/22,800,lv,44,45,
Morning Consult,7/26/22,7/28/22,10577,rv,46,41,
Rasmussen Reports/Pulse Opinion Research,7/24/22,7/28/22,2500,lv,41,46,
Morning Consult,7/25/22,7/27/22,10926,rv,45,42,
Morning Consult,7/24/22,7/26/22,11158,rv,45,42,
YouGov,7/23/22,7/26/22,1311,rv,43.6,38.3,
Morning Consult,7/23/22,7/25/22,11141,rv,45,42,
Suffolk University,7/22/22,7/25/22,1000,rv,44.3,40.1,
Data for Progress,7/13/22,7/25/22,6772,lv,45,48,
The Winston Group,7/23/22,7/24/22,1000,rv,47,41,
Morning Consult,7/22/22,7/24/22,2006,rv,45,41,
NewsNation,7/22/22,7/24/22,1000,rv,43.73,42.52,
Morning Consult,7/22/22,7/24/22,10767,rv,45,42,
McLaughlin & Associates,7/21/22,7/24/22,1000,lv,43,48.2,
Morning Consult,7/21/22,7/23/22,10354,rv,44,42,
Trafalgar Group,7/20/22,7/22/22,1085,lv,40.2,48.3,
